ChCode,  Amount OB  ,  Principal Amount Due  
01PAFL2601-1," 960,375.86 "," 7,862.48 "
01PAFL2601-10," 158,136.16 "," 2,621.59 "
01PAFL2601-100," 2,434,306.95 "," 33,827.98 "
01PAFL2601-101," 1,085,535.31 "," 9,017.86 "
01PAFL2601-102," 1,478,916.06 "," 38,303.33 "
01PAFL2601-103," 1,628,766.69 "," 53,996.20 "
01PAFL2601-104," 1,872,436.68 "," 49,789.44 "
01PAFL2601-105," 518,512.06 "," 6,657.78 "
01PAFL2601-106," 568,870.44 "," 4,609.66 "
01PAFL2601-107," 1,013,866.85 "," 46,106.71 "
01PAFL2601-108," 150,855.44 "," 11,672.61 "
01PAFL2601-109," 172,437.62 "," 3,924.53 "
01PAFL2601-11," 1,086,816.94 "," 27,870.58 "
01PAFL2601-110," 865,012.54 "," 19,116.77 "
01PAFL2601-111," 946,831.77 "," 27,981.44 "
01PAFL2601-112," 858,828.03 "," 6,121.51 "
01PAFL2601-113," 604,650.55 "," 27,610.25 "
01PAFL2601-114," 313,287.76 "," 12,940.58 "
01PAFL2601-115," 94,867.49 "," 4,056.34 "
01PAFL2601-116," 1,090,006.54 "," 8,718.62 "
01PAFL2601-117," 1,957,489.08 "," 75,329.29 "
01PAFL2601-118," 1,824,736.61 "," 37,604.29 "
01PAFL2601-119," 948,427.78 "," 48,347.40 "
01PAFL2601-12," 984,124.02 "," 53,563.16 "
01PAFL2601-120," 128,072.00 "," 1,733.68 "
01PAFL2601-121," 43,388.48 "," 8,512.38 "
01PAFL2601-122," 329,205.03 "," 7,002.56 "
01PAFL2601-123," 780,194.26 "," 45,396.99 "
01PAFL2601-124," 1,048,498.79 "," 62,160.88 "
01PAFL2601-125," 245,677.10 "," 14,105.40 "
01PAFL2601-126," 2,025,160.50 "," 112,817.21 "
01PAFL2601-127," 969,155.71 "," 16,317.52 "
01PAFL2601-128," 253,267.96 "," 5,774.37 "
01PAFL2601-129," 953,299.49 "," 33,685.12 "
01PAFL2601-13," 997,281.60 "," 85,377.37 "
01PAFL2601-130," 629,211.20 "," 4,696.31 "
01PAFL2601-131," 970,949.93 "," 10,506.04 "
01PAFL2601-132," 1,869,077.67 "," 92,631.70 "
01PAFL2601-133," 380,057.78 "," 20,385.00 "
01PAFL2601-134," 675,039.46 "," 4,665.68 "
01PAFL2601-135," 1,870,649.09 "," 28,236.90 "
01PAFL2601-136," 386,887.83 "," 2,896.29 "
01PAFL2601-137," 2,389,437.25 "," 96,727.69 "
01PAFL2601-138," 628,296.81 "," 27,773.45 "
01PAFL2601-139," 57,994.51 ", 746.46 
01PAFL2601-14," 1,145,560.22 "," 9,713.53 "
01PAFL2601-140," 1,015,035.98 "," 55,580.69 "
01PAFL2601-141," 658,290.49 "," 48,861.41 "
01PAFL2601-142," 835,721.31 "," 7,536.63 "
